10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
15,12,20,27,35,87,36,16,56,56,86,89,97,86,104,67,115
15,14,26,46,36,42,51,62,56,74,35,88,94,67,116,100,101
17,14,20,31,16,45,47,57,65,79,79,84,87,88,75,105,94
31,21,21,30,36,55,24,60,70,48,87,90,96,92,36,79,79
16,14,22,24,28,44,52,58,63,47,80,88,80,69,114,106,85
21,13,21,29,16,24,57,58,64,76,82,81,111,64,95,115,112
16,15,23,8,37,47,53,58,48,64,52,72,73,103,96,47,119
17,14,21,28,35,49,53,55,73,76,81,88,85,94,113,30,86
0,15,20,29,35,44,53,31,59,75,64,47,97,65,100,68,83
15,17,18,28,36,47,55,59,60,79,83,78,96,56,87,102,81
7,18,22,29,35,44,31,59,73,75,103,80,52,94,81,80,60
16,15,4,29,39,45,38,48,60,38,66,89,84,108,80,74,59
18,17,20,28,35,40,63,60,39,34,83,52,98,63,86,85,87
0,13,31,0,38,42,48,77,48,74,80,88,82,58,119,91,115
16,13,20,28,35,43,47,63,52,77,64,83,83,111,68,87,55
15,13,24,45,37,44,63,61,62,79,79,95,96,82,53,79,59
0,13,21,8,35,44,51,59,70,59,80,44,95,63,105,55,83
15,9,19,31,43,44,63,63,69,56,86,82,84,71,80,82,103
12,13,20,27,55,44,74,57,68,83,50,88,88,80,60,125,63
32,15,20,12,34,42,52,59,71,76,80,82,79,84,45,53,53
18,0,23,29,43,32,51,67,38,55,80,52,95,39,83,50,99
15,13,19,28,36,49,51,60,48,63,83,89,81,63,110,119,86
0,0,21,11,34,45,34,60,68,74,47,87,80,103,88,96,35
19,14,20,30,37,24,51,60,66,73,85,91,83,108,80,64,48
0,38,16,30,36,44,63,63,67,95,85,48,80,31,99,63,79
15,15,0,24,43,44,52,60,66,75,80,88,79,32,115,83,95
31,8,21,28,38,63,51,58,66,72,71,89,69,92,101,101,105
16,17,0,24,37,44,53,58,70,76,81,80,85,82,75,86,74
0,15,19,27,35,45,51,52,68,77,81,35,79,74,72,83,79
18,8,24,27,38,47,32,55,55,63,84,83,82,70,92,104,86
17,15,16,27,16,45,53,58,64,74,49,80,85,86,82,99,64
16,9,23,38,36,43,51,42,67,75,80,103,89,85,69,39,89
15,14,21,26,43,62,52,63,64,52,83,80,90,101,78,32,119
31,23,4,28,36,63,55,61,64,75,82,63,79,79,73,100,84
0,13,18,34,32,43,52,42,91,75,80,93,82,85,96,81,74
23,14,21,28,35,67,52,61,66,95,101,81,100,103,118,95,90
16,17,8,35,36,44,38,60,69,53,103,91,96,103,89,94,94
8,14,21,31,12,43,51,56,66,56,83,52,32,75,103,86,95
15,12,21,28,37,62,40,60,67,74,80,92,47,79,81,86,105
15,13,20,29,39,44,51,60,68,79,82,64,77,92,71,89,54
8,19,21,31,32,50,50,61,67,8,80,86,77,87,64,53,65
17,0,4,27,37,49,32,61,73,55,84,77,79,55,79,57,79
15,15,20,27,38,45,51,60,71,83,81,78,55,92,84,90,80
15,12,21,35,32,43,27,63,67,74,73,88,52,111,40,119,83
20,0,19,28,37,47,48,40,67,51,80,78,85,105,79,73,111
16,8,4,27,35,42,55,59,71,70,81,61,97,51,112,75,83
15,13,19,30,38,43,49,87,56,75,76,64,34,80,101,81,133
0,13,19,29,35,45,52,53,67,72,68,91,62,79,48,87,100
15,15,16,24,35,44,51,32,79,75,80,111,88,89,71,33,82
32,18,21,28,32,44,51,59,65,95,76,45,80,47,123,70,102
17,16,21,33,37,44,55,57,67,72,73,79,54,65,78,115,82
17,19,2,20,61,43,50,58,87,79,51,72,75,106,68,115,91
0,15,29,19,42,47,50,79,67,75,81,80,105,80,74,106,81
17,14,19,28,38,44,63,63,50,74,81,38,85,71,89,112,106
0,15,16,8,35,45,52,58,66,77,77,73,65,95,88,84,120
14,13,22,26,42,32,8,63,71,73,74,90,95,97,65,95,39
17,16,21,28,16,15,50,58,68,95,81,88,87,105,78,94,94
16,15,0,16,34,40,55,58,47,74,83,16,72,113,88,82,115
0,15,21,28,63,42,51,59,66,72,40,82,63,111,103,87,101
17,10,23,29,37,54,75,59,68,73,50,81,89,93,32,79,48
15,14,18,27,36,44,51,59,71,78,64,80,79,109,63,95,83
16,31,23,29,39,47,51,62,68,32,56,82,82,91,107,87,108
17,10,20,29,35,43,71,62,71,70,83,79,42,78,83,86,103
15,14,0,27,32,42,51,56,70,99,50,88,67,101,64,94,80
16,12,23,31,39,47,63,57,66,73,64,86,88,96,90,23,72
19,13,19,26,35,35,74,55,66,56,81,88,84,101,104,62,84
15,8,32,27,32,49,53,58,69,76,80,73,86,76,99,85,82
15,13,20,28,38,47,52,63,85,75,44,95,85,95,104,95,100
16,11,19,27,37,43,51,58,66,56,81,88,93,68,89,92,95
15,13,0,63,36,43,50,58,71,55,80,88,86,94,105,69,82
34,15,20,28,34,63,51,44,65,67,80,82,95,77,102,97,94
14,14,0,30,35,42,79,59,66,56,82,80,88,87,111,83,95
17,15,20,47,32,45,24,79,69,75,80,92,97,83,71,112,54
31,14,22,29,36,71,48,43,67,54,82,78,91,80,91,88,99
16,14,20,16,36,43,51,58,62,56,64,55,84,74,80,109,95
15,31,16,47,16,44,52,40,66,74,81,91,69,103,80,77,102
38,14,21,31,37,50,32,59,67,72,95,81,99,97,68,86,48
23,21,21,28,37,45,50,59,64,76,81,88,82,85,80,81,126
16,16,19,35,36,43,68,40,68,75,83,59,81,94,121,79,85
23,17,21,27,39,43,51,67,50,74,87,65,52,97,110,81,94
15,19,31,28,36,45,53,58,49,77,82,88,93,80,75,79,49
16,15,19,8,36,43,51,58,69,74,80,123,53,97,68,119,82
18,31,23,28,34,46,48,59,63,79,87,66,77,111,100,116,111
16,17,19,27,34,32,50,60,50,73,79,51,55,81,93,84,79
15,13,18,30,63,43,51,64,68,54,78,87,90,94,81,96,51
16,14,20,31,35,46,48,60,66,72,107,79,82,80,80,48,116
16,15,21,27,37,44,53,63,0,77,80,88,90,93,82,101,85
8,0,47,31,59,47,53,61,67,74,81,95,55,84,77,131,79
17,14,20,28,35,46,42,62,86,73,107,86,77,64,108,83,32
12,15,20,27,16,43,52,59,67,95,67,88,83,101,115,116,73
15,16,31,47,42,26,50,58,42,67,76,93,81,61,81,103,87
20,12,22,26,42,45,51,60,66,49,78,81,83,96,96,86,80
17,13,16,29,36,49,55,59,68,87,80,89,78,79,51,74,87
20,13,31,29,41,43,51,63,67,77,80,92,95,102,64,113,78
19,0,31,29,36,45,53,60,16,64,83,74,102,63,80,94,88
15,16,19,5,34,44,48,59,75,79,67,69,77,92,95,88,82
16,15,43,30,16,40,51,60,67,95,72,79,95,105,81,79,99
16,8,19,31,35,43,75,59,67,74,81,50,80,85,84,79,74
18,21,19,26,35,23,51,53,69,84,73,43,96,67,112,79,116
15,14,0,31,38,48,55,63,65,75,66,78,88,92,107,111,85
