5,519,506,401,315,244,200,172,156,139,139,92,119,89,75,71,67,59
6,529,512,399,294,242,205,171,149,138,124,108,98,92,94,95,100,64
7,527,512,434,294,243,196,170,157,130,132,108,102,91,83,78,69,44
0,530,513,420,303,240,197,172,151,132,132,113,100,113,54,104,64,61
23,520,538,440,298,240,200,170,152,136,124,99,100,102,81,82,55,73
3,549,507,384,301,236,200,169,159,128,134,121,99,64,82,70,63,62
0,524,533,413,298,243,199,171,148,134,100,106,106,121,66,119,68,67
3,553,511,389,306,244,208,172,132,134,122,114,102,77,90,55,70,65
3,532,520,413,302,244,196,174,147,134,128,112,99,87,99,75,72,63
6,558,539,394,303,240,211,168,146,136,126,112,103,90,80,82,62,79
3,539,535,394,301,243,199,174,151,136,116,111,98,80,103,74,72,86
27,545,506,389,299,240,223,172,148,138,137,96,96,96,90,74,71,75
0,541,506,390,298,249,200,177,148,135,127,107,100,89,73,75,91,64
